Comune,PROV,ISTAT,Zona_Climatica,Sottozona,Latitudine,Longitudine,Altitudine
ABBADIA CERRETO,LO,98001,E,6,45.31333333333333,9.595555555555556,62
ABBADIA LARIANA,LC,97001,E,2,45.901111111111106,9.334722222222222,199
ABBIATEGRASSO,MI,15002,E,5,45.39972222222222,8.916666666666666,78
ACQUAFREDDA,BS,17001,E,7,45.30777777777777,10.410555555555556,47
ACQUANEGRA CREMONESE,CR,19001,E,6,45.170833333333334,9.889999999999999,39
ACQUANEGRA SUL CHIESE,MN,20001,E,7,45.16305555555555,10.431388888888888,21
ADRARA SAN MARTINO,BG,16001,E,4,45.70111111111111,9.950555555555555,230
ADRARA SAN MARTINO,BG,16001,E,3,45.70111111111111,9.950555555555555,230
ADRARA SAN ROCCO,BG,16002,E,3,45.71555555555556,9.95861111111111,363
ADRO,BS,17002,E,7,45.62166666666667,9.960833333333333,200
AGNADELLO,CR,19002,E,6,45.445277777777775,9.557777777777778,89
AGNADELLO,CR,19002,E,5,45.445277777777775,9.557777777777778,89
AGNOSINE,BS,17003,E,3,45.651111111111106,10.353055555555555,320
AGRA,VA,12001,F,-,46.035555555555554,8.773333333333333,350
AIRUNO,LC,97002,E,4,45.75611111111111,9.425277777777778,196
ALAGNA,PV,18001,E,6,45.17055555555555,8.891388888888889,91
ALBAIRATE,MI,15005,E,5,45.4225,8.937777777777779,120
ALBAREDO PER SAN MARCO,SO,14001,F,-,46.105555555555554,9.59138888888889,573
ALBAVILLA,CO,13003,E,4,45.805,9.190277777777778,260
ALBAVILLA,CO,13003,E,2,45.805,9.190277777777778,260
ALBESE CON CASSANO,CO,13004,E,4,45.797777777777775,9.167499999999999,370
ALBINO,BG,16004,E,4,45.76083333333333,9.795277777777777,317
ALBINO,BG,16004,E,3,45.76083333333333,9.795277777777777,317
ALBIOLO,CO,13005,E,4,45.80722222222222,8.93888888888889,385
ALBIZZATE,VA,12002,E,4,45.726111111111116,8.803611111111111,287
